city,country,lat,lon
"Huntsville, AL",USA,34.730,-86.586
"Nashville, TN",USA,36.163,-86.781
Paris,France,48.857,2.352
London,United Kingdom,51.507,-0.128
Oxford,United Kingdom,51.752,-1.258
Liverpool,United Kingdom,53.408,-2.991
Manchester,United Kingdom,53.480,-2.243
Chinley,United Kingdom,53.338,-1.940
Betws-y-Coed,United Kingdom,53.092,-3.801
Abergavenny,United Kingdom,51.824,-3.018
Holyhead,United Kingdom,53.309,-4.633
Dublin,Ireland,53.350,-6.260
Galway,Ireland,53.271,-9.057
Clifden,Ireland,53.488,-10.019
Howth,Ireland,53.388,-6.067
Belfast,United Kingdom,54.597,-5.930
Lille,France,50.629,3.057
Tournai,Belgium,50.607,3.389
Brussels,Belgium,50.851,4.352
Cologne,Germany,50.938,6.960
Hamburg,Germany,53.551,9.994
Copenhagen,Denmark,55.676,12.568
Stockholm,Sweden,59.329,18.069
Turku,Finland,60.452,22.267
Helsinki,Finland,60.170,24.938
Tallinn,Estonia,59.437,24.754
Riga,Latvia,56.950,24.106
Vilnius,Lithuania,54.687,25.280
Mockava,Lithuania,54.313,23.200
Warsaw,Poland,52.230,21.011
Kraków,Poland,50.065,19.945
Ostrava,Czechia,49.842,18.292
Brno,Czechia,49.195,16.608
Vienna,Austria,48.208,16.373
Bratislava,Slovakia,48.148,17.107
Bled,Slovenia,46.369,14.114
Ljubljana,Slovenia,46.056,14.506
Zagreb,Croatia,45.815,15.982
Split,Croatia,43.508,16.440
Krka National Park,Croatia,43.802,15.965
Mostar,Bosnia and Herzegovina,43.343,17.808
Sarajevo,Bosnia and Herzegovina,43.857,18.413
Plužine,Montenegro,43.154,18.847
Niksic,Montenegro,42.773,18.945
Žabljak,Montenegro,43.155,19.123
Podgorica,Montenegro,42.441,19.263
Virpazar,Montenegro,42.248,19.097
Shkodër,Albania,42.069,19.513
Theth,Albania,42.393,19.770
Tirana,Albania,41.328,19.818
Marseille,France,43.296,5.370
Barcelona,Spain,41.385,2.173
Nice,France,43.710,7.262
Monaco-Ville,Monaco,43.731,7.421
Lyon,France,45.764,4.836
Annecy,France,45.899,6.129
Chamonix,France,45.923,6.869
Interlaken,Switzerland,46.686,7.863
Kandersteg,Switzerland,46.496,7.673
Mürren,Switzerland,46.560,7.891
Zermatt,Switzerland,46.021,7.749
Milan,Italy,45.464,9.190
Florence,Italy,43.770,11.256
Rome,Italy,41.903,12.496
Vatican City,Vatican City,41.904,12.454
Santa Marinella,Italy,42.033,11.855
Naples,Italy,40.852,14.268
Ercolano,Italy,40.806,14.349
Sorrento,Italy,40.626,14.376
Amalfi,Italy,40.634,14.603
Bari,Italy,41.118,16.852
Durrës,Albania,41.324,19.446
Budapest,Hungary,47.498,19.040
Břeclav,Czechia,48.759,16.882
Prague,Czechia,50.088,14.420
Berlin,Germany,52.520,13.405
Amsterdam,Netherlands,52.374,4.892
